X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
"<ChAged15ByCD4Cat MV>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",Males CD4: 50-99 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007077,0.0082635,0.039543,0.2563638,0.9247014,1.5159648,1.9588716,2.3837436,2.8477869,3.7407048,4.8403173,5.456325,6.4116108,7.8536115,8.7399165,9.8124096,11.4121056,13.1595051,14.8366701,13.5617244,13.92258,11.196906,11.196906,11.196906,11.196906,11.196906,11.196906
",Males CD4: <50 Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014828,0.017314,0.082852,0.5371432,1.9374696,3.1763072,4.1043024,4.9945104,5.9667916,7.8376672,10.1416172,11.4323,13.4338512,16.455186,18.312206,20.5593344,23.9110784,27.5722964,31.0863564,28.4150416,29.17112,23.460184,23.460184,23.460184,23.460184,23.460184,23.460184
",Females CD4: >500+: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0.00031,0.0082,0.00728,0.01117,0.01749,0.02689,0.04059,0.07547,0.13156,0.21752,0.36232,0.54074,0.83393,1.21944,1.75472,2.44958,3.37006,4.49836,6.0776,7.813,9.73896,11.94101,14.42686,16.70339,19.19929,21.53144,24.15852,26.52934,27.80892,28.83432,28.91054,27.35121,24.45219,22.67217,20.23569,20.41163,14.69607,14.69607,14.69607,14.69607,14.69607,14.69607
",Females CD4: 350-500: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00003,0.00042,0.01095,0.00967,0.01485,0.02325,0.03571,0.05392,0.10031,0.17489,0.28918,0.48176,0.71877,1.10849,1.62073,2.33196,3.25502,4.47773,5.97585,8.07401,10.3816,12.94689,15.88686,19.21499,22.27278,25.63752,28.78646,32.33634,32.9231,34.23727,35.8395,36.23592,34.50328,30.51749,29.41487,26.14907,26.78497,19.48194,19.48194,19.48194,19.48194,19.48194,19.48194
",Females CD4: 250-349: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002,0.000313333,0.00834,0.007353333,0.011293333,0.01768,0.027166667,0.040986667,0.076286667,0.133046667,0.21996,0.36648,0.546606667,0.842986667,1.23234,1.77296,2.474426667,3.403486667,4.541346667,6.135846667,7.89082,9.516906667,11.54691333,13.84266667,15.72082667,17.2151,18.78,21.03028,22.37418,23.36855333,24.78808667,25.42774,24.42834,21.45684,21.06272,18.74803333,19.66230667,14.55212667,14.55212667,14.55212667,14.55212667,14.55212667,14.55212667
",Females CD4: 200-249: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.000156667,0.00417,0.003676667,0.005646667,0.00884,0.013583333,0.020493333,0.038143333,0.066523333,0.10998,0.18324,0.273303333,0.421493333,0.61617,0.88648,1.237213333,1.701743333,2.270673333,3.067923333,3.94541,4.758453333,5.773456667,6.921333333,7.860413333,8.60755,9.39,10.51514,11.18709,11.68427667,12.39404333,12.71387,12.21417,10.72842,10.53136,9.374016667,9.831153333,7.276063333,7.276063333,7.276063333,7.276063333,7.276063333,7.276063333
",Females CD4: 100-199: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005656,0.0047915,0.007357,0.011536,0.017724,0.0263655,0.0494725,0.086541,0.14301,0.2400055,0.3567655,0.55195,0.8081045,1.1650625,1.6244235,2.2274525,2.9415855,3.7195445,4.224766,5.3174695,6.55263,7.97321,9.136127,9.996413,10.728214,12.040175,12.662069,12.9939845,13.3664685,13.832252,13.661508,11.961446,11.85345,11.019757,12.7683465,10.2289145,10.2289145,10.2289145,10.2289145,10.2289145,10.2289145
",Females CD4: 50-99: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033936,0.0028749,0.0044142,0.0069216,0.0106344,0.0158193,0.0296835,0.0519246,0.085806,0.1440033,0.2140593,0.33117,0.4848627,0.6990375,0.9746541,1.3364715,1.7649513,2.2317267,2.5348596,3.1904817,3.931578,4.783926,5.4816762,5.9978478,6.4369284,7.224105,7.5972414,7.7963907,8.0198811,8.2993512,8.1969048,7.1768676,7.11207,6.6118542,7.6610079,6.1373487,6.1373487,6.1373487,6.1373487,6.1373487,6.1373487
",Females CD4: <50: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071104,0.0060236,0.0092488,0.0145024,0.0222816,0.0331452,0.062194,0.1087944,0.179784,0.3017212,0.4485052,0.69388,1.0159028,1.46465,2.0421324,2.800226,3.6979932,4.6759988,5.3111344,6.6848188,8.237592,10.023464,11.4854168,12.5669192,13.4868976,15.13622,15.9180296,16.3352948,16.8035604,17.3891168,17.1744672,15.0372464,14.90148,13.8534088,16.0516356,12.8592068,12.8592068,12.8592068,12.8592068,12.8592068,12.8592068
",Females CD4: >500+ Duration: on ART greater than 12 months,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373,0.00426,0.00667,0.01049,0.01616,0.02435,0.04324,0.07496,0.12545,0.2111,0.3248,0.50652,0.75919,1.11132,1.57711,2.20906,3.00954,4.10795,5.40835,6.92666,8.67115,10.69372,12.74935,14.99275,17.23967,19.63129,21.01411,23.40119,26.50232,29.47558,33.61787,37.91283,52.64715,85.2662,127.10408,132.12206,132.12206,132.12206,132.12206,132.12206,132.12206
