Major area region country or area,Country Code,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Croatia,191,-1,-1,-1,-1,-1,-1,-1,2,8,9,3,9,11,8,10,17,15,17,17,12,15,18,1
Cuba,192,-1,-1,-1,-1,-1,-1,-1,5,11,14,13,28,37,71,82,102,116,99,129,150,176,247,268
Cyprus,196,-1,-1,-1,-1,-1,-1,-1,3,5,6,5,6,7,2,7,11,5,18,10,6,13,24,9
Czech Republic,203,-1,-1,-1,0,0,0,0,1,2,6,7,5,2,9,15,12,13,18,21,8,16,13,3
Dem. People's Republic of Korea,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Democratic Republic of the Congo,180,0,0,0,0,0,0,0,440,1988,4566,5609,3916,4482,2070,4215,2637,8329,11572,9642,5809,9953,9848,-1
Denmark,208,-1,-1,-1,0,17,16,34,66,98,127,159,199,209,194,236,249,229,161,108,71,73,60,19
Djibouti,262,0,0,0,0,0,0,0,0,0,1,6,51,107,144,144,196,231,358,434,111,-1,-1,-1
Dominica,212,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,6,9,6,15,6,5,14,19,12,15,-1,-1
Dominican Republic,214,-1,-1,-1,-1,8,10,53,74,243,372,485,277,316,390,407,429,500,444,419,393,434,186,-1
Ecuador,218,-1,-1,-1,-1,-1,6,1,6,23,31,29,48,54,69,89,116,70,65,128,186,325,313,-1
Egypt,818,0,0,0,0,0,0,0,2,3,6,9,7,2,23,29,22,16,14,25,23,34,44,35
El Salvador,222,-1,-1,-1,-1,-1,1,1,5,16,34,72,54,133,116,177,384,383,418,414,352,425,-1,-1
Equatorial Guinea,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,12,24,16,98,74,111,189,122,222,-1
Eritrea,232,0,0,0,0,0,0,0,0,0,8,10,56,76,219,300,625,727,896,1260,1610,1086,-1,-1
Estonia,233,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,3,4,2,3,1
Ethiopia,231,-1,-1,-1,-1,-1,-1,-1,2,17,85,190,448,897,3256,5132,6927,3793,832,7631,9416,11964,13347,5872
Fiji,242,-1,-1,-1,-1,-1,0,0,0,0,0,1,2,1,1,1,2,0,0,0,0,4,3,0
Finland,246,-1,-1,-1,0,0,0,9,7,8,17,15,16,24,23,24,46,37,25,17,20,10,16,10
France,250,-1,-1,-1,31,51,127,310,688,1815,2548,3221,4353,4565,5141,5582,5797,5483,4837,2835,2098,1785,1772,787
French Guiana,254,-1,-1,1,1,3,4,21,18,27,36,57,55,48,73,52,70,78,62,35,0,-1,-1,-1
French Polynesia,258,-1,-1,-1,-1,0,0,0,8,9,8,11,12,4,3,5,1,4,2,2,2,1,0,0
Gabon,266,0,10,-1,0,1,-1,-1,1,14,38,64,61,-1,117,128,204,334,601,559,708,594,794,1238
Gambia,270,0,0,0,0,0,0,0,0,0,0,78,46,56,56,38,53,32,78,74,126,-1,-1,-1
Georgia,268,-1,-1,-1,0,0,0,0,0,0,0,1,3,1,4,0,2,3,2,6,2,7,14,4
Germany,276,-1,-1,-1,2,28,53,226,369,835,1010,1387,1196,1703,1635,1846,1862,1783,1630,1416,943,578,1474,484
Ghana,288,-1,-1,-1,-1,-1,-1,-1,42,112,646,2331,2013,2442,2699,2371,2330,2578,3295,3833,4854,7752,6289,3857
Greece,300,-1,-1,-1,0,0,6,7,21,53,81,105,132,139,149,160,123,310,212,239,146,137,143,44
Grenada,308,-1,-1,-1,-1,-1,2,2,1,5,3,8,5,7,4,21,7,18,18,10,7,-1,-1,-1
Guadeloupe,312,-1,-1,0,1,2,2,8,28,36,48,55,54,76,81,135,104,106,73,0,0,-1,-1,-1
Guam,316,-1,-1,-1,-1,-1,-1,1,2,1,1,1,2,4,2,5,11,2,10,5,7,8,2,9
Guatemala,320,-1,-1,-1,-1,-1,2,5,15,16,18,33,92,96,94,178,110,141,835,649,397,730,519,303
Guinea,324,0,0,0,0,0,0,0,0,8,29,72,112,220,236,328,543,610,922,1005,1648,1069,1646,-1
Guinea-Bissau,624,0,0,0,0,0,0,0,0,29,29,65,19,30,118,165,254,77,37,217,-1,120,-1,-1
Guyana,328,-1,-1,-1,-1,-1,-1,-1,-1,10,34,40,61,85,162,107,105,192,144,115,222,338,-1,-1
Haiti,332,-1,-1,-1,-1,232,211,110,242,477,731,453,1216,492,806,0,0,0,0,3932,0,-1,-1,-1
Honduras,340,-1,-1,-1,-1,-1,-1,4,13,109,212,326,739,636,861,1201,1123,1221,1086,1261,1492,1136,369,-1
Hungary,348,0,0,0,0,0,0,0,1,7,9,15,19,30,33,32,23,31,46,31,36,37,27,12
Iceland,352,-1,-1,-1,0,0,0,1,3,0,6,3,3,5,4,6,4,3,3,2,2,5,1,1
India,356,0,0,0,0,0,0,0,0,0,0,0,57,45,140,252,523,1091,888,2108,1148,-1,-1,-1
Indonesia,360,0,0,0,0,0,0,0,0,3,2,3,5,12,10,17,15,20,31,34,75,57,166,185
Iran (Islamic Republic of),364,0,0,0,0,0,0,0,0,1,3,5,10,25,16,32,19,16,27,40,21,27,67,60
Iraq,368,0,0,0,0,0,0,0,0,0,0,0,0,7,6,21,37,16,15,2,4,0,-1,-1
Ireland,372,-1,-1,-1,0,3,2,5,6,19,39,49,54,61,69,74,62,53,78,30,41,41,21,4
Israel,376,-1,-1,-1,0,0,0,0,0,46,23,28,38,28,46,47,32,45,67,45,36,137,50,39
Italy,380,-1,-1,-1,0,1,0,17,28,453,1582,2300,2918,3371,4147,4532,5440,6062,5376,3782,2483,2201,1903,989
Jamaica,388,-1,-1,-1,1,1,-1,3,8,34,36,65,70,143,135,219,335,511,491,609,643,892,903,445
Japan,392,-1,-1,-1,-1,-1,-1,6,5,14,14,21,31,38,51,86,136,169,234,250,231,300,327,155
Jordan,400,-1,-1,-1,-1,-1,-1,-1,2,3,1,6,1,8,7,8,6,2,4,12,11,3,14,7
Kazakhstan,398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,8,9,5,8,10
Kenya,404,0,0,0,0,0,0,0,1,1299,2429,4749,7672,9554,11569,12204,8588,9133,6844,4885,2565,-1,-1,-1
Kiribati,296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,2,2,4,5,2,1
Kuwait,414,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,5,4,5,2,19,4,12,5
Kyrgyzstan,417,0,0,0,0,0,0,0,0,4,2,4,4,1,0,0,0,2,2,2,6,-1,-1,-1
Lao People's Democratic Republic,418,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,5,4,4,16,48,27,18,27,27
Latvia,428,-1,-1,-1,0,0,0,0,0,0,0,0,2,1,1,3,2,0,8,3,11,17,24,17
Lebanon,422,0,0,0,0,0,0,0,9,0,3,5,10,13,7,22,12,18,5,8,35,-1,-1,-1
Lesotho,426,0,0,0,0,0,0,0,1,1,3,8,10,29,139,166,238,341,936,2203,3242,3563,3760,-1
Liberia,430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,4,13,11,8,59,114,79,81,52
Libyan Arab Jamahiriya,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,5,2,3,2,3,2,3,7,33,4,5,-1
Lithuania,440,-1,-1,-1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,3,3,8,7,8,7
Luxembourg,442,-1,-1,-1,0,0,0,3,3,3,4,11,9,12,12,20,13,15,12,10,10,5,10,3
Madagascar,450,0,0,0,0,0,0,0,0,0,1,2,0,0,1,6,9,6,1,6,2,0,2,3
Malawi,454,0,0,0,0,0,0,17,127,858,3034,4966,5859,7439,4655,4916,4732,5209,5406,3705,1878,1711,-1,-1
Malaysia,458,-1,-1,-1,-1,-1,0,0,0,0,2,2,18,60,73,71,105,233,347,568,875,1200,1168,482
Maldives,462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,4,1,2,0,0,1,0
Mali,466,0,0,0,0,0,0,1,5,23,99,106,242,377,460,672,609,454,594,711,620,290,-1,-1
Malta,470,-1,-1,-1,0,0,0,0,5,2,7,0,1,7,4,3,5,3,4,2,4,1,3,0
Northern Mariana Islands,580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,5,2,3,-1
Marshall Islands,584,-1,-1,-1,-1,-1,2,-1,0,-1,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,0
Martinique,474,0,0,0,0,0,3,6,16,23,30,28,51,36,44,44,49,41,42,23,-1,-1,-1,-1
Mauritania,478,0,0,0,0,0,0,0,0,0,5,13,12,15,18,94,56,103,98,-1,-1,-1,-1,-1
Mauritius,480,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,7,6,5,6,6,4,6,2,7,8,7
Mexico,484,-1,-1,-1,-1,60,198,349,673,1485,2069,2661,3517,3625,3988,3950,4129,4268,4387,4176,4218,3905,2395,660
Micronesia (Fed. States of),583,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
Monaco,492,-1,-1,-1,0,0,0,0,0,0,0,2,3,2,10,7,9,4,2,1,0,0,0,0
Mongolia,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Montserrat,500,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,1,-1,-1,-1
Morocco,504,-1,-1,-1,-1,-1,-1,-1,1,9,14,20,26,28,30,44,77,57,66,92,93,165,112,79
Mozambique,508,0,0,0,0,0,0,0,1,3,23,37,98,178,322,164,534,1380,2086,1661,4376,6361,7800,-1
Myanmar,104,0,0,0,0,0,0,0,0,0,0,0,0,6,41,142,286,618,690,554,231,-1,-1,-1
Namibia,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,430,355,452,1836,2687,3797,5158,6878,4503,-1
Nauru,520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nepal,524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Netherlands,528,-1,-1,-1,3,10,29,56,120,200,272,371,460,422,533,435,461,468,448,342,291,234,192,76
Netherlands Antilles,530,-1,-1,-1,-1,-1,-1,0,9,12,10,8,30,23,31,36,0,76,0,0,0,-1,-1,-1
Aruba,533,0,0,0,0,0,0,0,9,14,11,18,35,24,13,48,0,82,1,2,-1,-1,-1,-1
New Caledonia,540,-1,-1,-1,-1,-1,-1,-1,2,5,6,5,5,9,1,10,9,5,2,9,3,4,5,0
New Zealand,554,-1,-1,-1,-1,17,3,11,19,28,38,59,72,78,50,70,44,49,76,43,29,33,27,-1
Nicaragua,558,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,9,13,10,24,38,21,28,20,30,36,36,-1
Niger,562,-1,-1,-1,-1,-1,-1,-1,-1,18,24,38,213,212,304,453,467,621,652,217,425,940,1014,-1
Nigeria,566,-1,-1,-1,-1,-1,-1,-1,2,2,33,58,163,341,484,719,1114,2829,2980,3815,18490,16188,9715,3661
Niue,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,578,-1,-1,-1,0,2,4,15,20,35,25,43,59,59,50,64,74,67,56,34,36,23,38,6
Oman,512,0,0,0,0,0,1,1,4,11,27,26,23,28,35,38,60,41,27,43,28,36,32,23
Pakistan,586,-1,-1,-1,-1,-1,-1,-1,6,2,8,9,5,16,18,16,9,19,20,19,23,17,15,8
Palau,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Panama,591,-1,-1,-1,-1,-1,6,6,18,31,64,80,73,90,118,204,289,344,380,463,563,534,263,-1
Papua New Guinea,598,-1,-1,-1,-1,-1,-1,-1,-1,2,9,6,17,21,19,12,26,44,69,120,220,207,0,95
Paraguay,600,-1,-1,-1,-1,-1,-1,0,3,8,5,3,11,19,30,55,35,50,78,96,27,49,-1,-1
Peru,604,-1,-1,-1,-1,1,4,4,22,97,250,317,410,480,748,709,840,1090,1177,1078,1031,1009,615,-1
Philippines,608,-1,-1,-1,-1,-1,2,4,11,13,15,8,19,13,19,36,56,52,52,23,42,77,42,24
Poland,616,-1,-1,-1,0,0,0,0,1,2,2,23,22,35,40,42,94,120,96,117,132,113,109,56
Portugal,620,-1,-1,-1,-1,0,0,18,30,47,110,154,226,246,383,465,609,692,896,893,873,1011,1125,454
Qatar,634,0,0,0,0,0,1,0,8,22,12,9,10,13,5,8,8,6,2,4,3,9,3,2
Republic of Korea,410,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,2,1,2,6,11,14,22,33,35,34,21,-1
Republic of Moldova,498,-1,-1,-1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,10,4,5,4,3
Réunion,638,0,0,0,0,0,0,0,0,3,10,34,12,13,16,25,23,30,0,0,-1,-1,-1,-1
Romania,642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2235,400,484,608,719,701,583,359,631,1050
Russian Federation,643,-1,-1,-1,0,0,0,0,0,1,2,19,16,16,54,21,27,39,57,13,94,39,50,0
Rwanda,646,0,0,0,0,10,73,161,501,236,299,1005,2204,2089,2908,1220,0,2072,3847,1350,3948,671,-1,-1
Saint Kitts and Nevis,659,-1,-1,-1,-1,-1,1,1,4,4,9,5,8,1,4,3,7,6,6,3,1,5,-1,-1
Saint Lucia,662,-1,-1,-1,-1,-1,-1,4,0,6,5,8,4,6,8,12,13,10,14,15,10,21,-1,-1
