cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
894,Zambia,,Lusaka,,Naomi,ZMB,female,,,,,,,,,158345,174752,187546
894,Zambia,,Lusaka,,Naomi,ZMB,male,,,,,,,,,91818,103170,118008
894,Zambia,,Muchinga,,Naomi,ZMB,female,,,,,,,,,13626,14925,18561
894,Zambia,,Muchinga,,Naomi,ZMB,male,,,,,,,,,8106,9026,10684
894,Zambia,,Northern,,Naomi,ZMB,female,,,,,,,,,21938,25989,28259
894,Zambia,,Northern,,Naomi,ZMB,male,,,,,,,,,12987,14929,16488
894,Zambia,,Southern,,Naomi,ZMB,female,,,,,,,,,72462,75652,77862
894,Zambia,,Southern,,Naomi,ZMB,male,,,,,,,,,41067,43690,45292
894,Zambia,,Western,,Naomi,ZMB,female,,,,,,,,,40471,48834,52781
894,Zambia,,Western,,Naomi,ZMB,male,,,,,,,,,20413,24824,27069
894,Zambia,,North Western,,Naomi,ZMB,female,,,,,,,,,18387,20881,22224
894,Zambia,,North Western,,Naomi,ZMB,male,,,,,,,,,9331,10561,11710
716,Zimbabwe,,Total,Bulawayo,Naomi,ZWE,female,,,,,,39105,40018,42783,41197,40814,42183
716,Zimbabwe,,Total,Bulawayo,Naomi,ZWE,male,,,,,,21856,21821,25594,26778,23641,25256
716,Zimbabwe,,Total,Harare Chitungwiza,Naomi,ZWE,female,,,,,,65976,79317,92988,99257,94606,93827
716,Zimbabwe,,Total,Harare Chitungwiza,Naomi,ZWE,male,,,,,,40414,48048,54788,61500,56628,61169
716,Zimbabwe,,Total,Manicaland,Naomi,ZWE,female,,,,,,56507,63464,70673,70285,72262,73230
716,Zimbabwe,,Total,Manicaland,Naomi,ZWE,male,,,,,,31933,34797,41340,40299,43623,46646
716,Zimbabwe,,Total,Mashonaland Central,Naomi,ZWE,female,,,,,,38825,46469,48898,52482,52469,50950
716,Zimbabwe,,Total,Mashonaland Central,Naomi,ZWE,male,,,,,,24065,27492,30782,33526,33887,35223
716,Zimbabwe,,Total,Mashonaland East,Naomi,ZWE,female,,,,,,59290,60571,75869,81247,79367,85392
716,Zimbabwe,,Total,Mashonaland East,Naomi,ZWE,male,,,,,,34809,35594,43409,47058,48288,53325
716,Zimbabwe,,Total,Mashonaland West,Naomi,ZWE,female,,,,,,62878,72786,83155,83247,80712,79096
716,Zimbabwe,,Total,Mashonaland West,Naomi,ZWE,male,,,,,,36887,40650,50629,50707,52741,50985
716,Zimbabwe,,Total,Masvingo,Naomi,ZWE,female,,,,,,56003,64527,71601,73355,75350,76072
716,Zimbabwe,,Total,Masvingo,Naomi,ZWE,male,,,,,,30620,33870,37436,40132,42553,45598
716,Zimbabwe,,Total,Matabeleland North,Naomi,ZWE,female,,,,,,36601,39472,44319,44875,46273,48268
716,Zimbabwe,,Total,Matabeleland North,Naomi,ZWE,male,,,,,,21740,23205,27630,28809,29175,30545
716,Zimbabwe,,Total,Matabeleland South,Naomi,ZWE,female,,,,,,39065,44811,53938,55087,55210,58156
716,Zimbabwe,,Total,Matabeleland South,Naomi,ZWE,male,,,,,,23760,25835,30341,31451,32683,33405
716,Zimbabwe,,Total,Midlands,Naomi,ZWE,female,,,,,,62307,67943,78908,78738,80099,85212
716,Zimbabwe,,Total,Midlands,Naomi,ZWE,male,,,,,,35566,38818,46709,46644,48979,53894
454,Malawi,,Northern Region,,Naomi,MWI,female,,,,,,,,,,,51926.99696
454,Malawi,,Northern Region,,Naomi,MWI,male,,,,,,,,,,,30193.00382
454,Malawi,,Central Region,,Naomi,MWI,female,,,,,,,,,,,150354
454,Malawi,,Central Region,,Naomi,MWI,male,,,,,,,,,,,84235
454,Malawi,,Southern Region,,Naomi,MWI,female,,,,,,,,,,,337052.0017
454,Malawi,,Southern Region,,Naomi,MWI,male,,,,,,,,,,,164964
404,Kenya,,Coast,Coast,Naomi,KEN,female,,,,,,,,,52942,59621,63253
404,Kenya,,Coast,Coast,Naomi,KEN,male,,,,,,,,,24874,24464,26896
404,Kenya,,North Eastern,North Eastern,Naomi,KEN,female,,,,,,,,,1294,1595,1286
404,Kenya,,North Eastern,North Eastern,Naomi,KEN,male,,,,,,,,,676,753,755
404,Kenya,,Eastern,Eastern,Naomi,KEN,female,,,,,,,,,65297,69519,74928
404,Kenya,,Eastern,Eastern,Naomi,KEN,male,,,,,,,,,26333,28667,31394
404,Kenya,,Central,Central,Naomi,KEN,female,,,,,,,,,56384,59661,63917
404,Kenya,,Central,Central,Naomi,KEN,male,,,,,,,,,25619,27945,29729
404,Kenya,,Rift Valley,Rift Valley,Naomi,KEN,female,,,,,,,,,102353,110300,118763
404,Kenya,,Rift Valley,Rift Valley,Naomi,KEN,male,,,,,,,,,46862,50351,55150
404,Kenya,,Western,Western,Naomi,KEN,female,,,,,,,,,70368,74868,79760
404,Kenya,,Western,Western,Naomi,KEN,male,,,,,,,,,29530,31890,33862
404,Kenya,,Nyanza,Nyanza,Naomi,KEN,female,,,,,,,,,249492,262795,280336
404,Kenya,,Nyanza,Nyanza,Naomi,KEN,male,,,,,,,,,119171,128890,138287
404,Kenya,,Nairobi,Nairobi,Naomi,KEN,female,,,,,,,,,96412,104013,108175
404,Kenya,,Nairobi,Nairobi,Naomi,KEN,male,,,,,,,,,47432,51649,54077
508,Mozambique,,Gaza,SOUTH_Gaza,Naomi,MOZ,female,,,,,44329,60934,75449,104937,106828,115000,113973
508,Mozambique,,Gaza,SOUTH_Gaza,Naomi,MOZ,male,,,,,17860,18912,24146,35558,36988,39009,47680
508,Mozambique,,Inhambane,SOUTH_Inhambane,Naomi,MOZ,female,,,,,20714,26379,36248,46486,56374,61575,60170
508,Mozambique,,Inhambane,SOUTH_Inhambane,Naomi,MOZ,male,,,,,7320,7122,9432,18451,13676,15769,19054
508,Mozambique,,Sofala,CENTER_Sofala,Naomi,MOZ,female,,,,,33398,46368,58357,77903,77526,75947,74864
508,Mozambique,,Sofala,CENTER_Sofala,Naomi,MOZ,male,,,,,15867,19409,22820,31834,31099,31153,34426
508,Mozambique,,Manica,CENTER_Manica,Naomi,MOZ,female,,,,,24781,35419,41539,59117,60069,68047,60995
508,Mozambique,,Manica,CENTER_Manica,Naomi,MOZ,male,,,,,12088,16046,19216,27411,26718,31349,28958
508,Mozambique,,Tete,CENTER_Tete,Naomi,MOZ,female,,,,,16612,22698,28345,39251,38665,42061,48133
508,Mozambique,,Tete,CENTER_Tete,Naomi,MOZ,male,,,,,17237,16642,16231,19198,19058,21220,24850
508,Mozambique,,Remaining Pop,NORTH_Nampula,Naomi,MOZ,female,,,,,22341,31533,41666,62383,65747,70976,91553
508,Mozambique,,Remaining Pop,NORTH_Nampula,Naomi,MOZ,male,,,,,11319,13745,18784,30160,32962,34106,49616
508,Mozambique,,NORTH_Niassa,NORTH_Niassa,Naomi,MOZ,female,,,,,7908,8742,10748,17434,20128,21404,23149
508,Mozambique,,NORTH_Niassa,NORTH_Niassa,Naomi,MOZ,male,,,,,4680,4573,4473,6663,8303,9060,10735
508,Mozambique,,Maputo,SOUTH_Maputo,Naomi,MOZ,female,,,,,95123,110222,129761,176417,182580,205181,198457
508,Mozambique,,Maputo,SOUTH_Maputo,Naomi,MOZ,male,,,,,43693,51824,60430,77299,80974,87821,99219
508,Mozambique,,NORTH_Cabo Delgado,NORTH_Cabo Delgado,Naomi,MOZ,female,,,,,20318,28585,34328,34792,35481,45948,39631
508,Mozambique,,NORTH_Cabo Delgado,NORTH_Cabo Delgado,Naomi,MOZ,male,,,,,9253,12042,13770,16689,19296,22149,23774
508,Mozambique,,Zambezia,CENTER_Zambezi,Naomi,MOZ,female,,,,,47090,64649,84625,132857,147999,167788,171845
508,Mozambique,,Zambezia,CENTER_Zambezi,Naomi,MOZ,male,,,,,20423,26582,34097,54753,65171,77457,96345
508,Mozambique,,Gaza,,Naomi,MOZ,female,,,,,44329,60934,75449,104937,106828,115000,113973
508,Mozambique,,Gaza,,Naomi,MOZ,male,,,,,17860,18912,24146,35558,36988,39009,47680
508,Mozambique,,Inhambane,,Naomi,MOZ,female,,,,,20714,26379,36248,46486,56374,61575,60170
508,Mozambique,,Inhambane,,Naomi,MOZ,male,,,,,7320,7122,9432,18451,13676,15769,19054
508,Mozambique,,Sofala,,Naomi,MOZ,female,,,,,33398,46368,58357,77903,77526,75947,74864
508,Mozambique,,Sofala,,Naomi,MOZ,male,,,,,15867,19409,22820,31834,31099,31153,34426
508,Mozambique,,Manica,,Naomi,MOZ,female,,,,,24781,35419,41539,59117,60069,68047,60995
508,Mozambique,,Manica,,Naomi,MOZ,male,,,,,12088,16046,19216,27411,26718,31349,28958
508,Mozambique,,Tete,,Naomi,MOZ,female,,,,,16612,22698,28345,39251,38665,42061,48133
508,Mozambique,,Tete,,Naomi,MOZ,male,,,,,17237,16642,16231,19198,19058,21220,24850
508,Mozambique,,Nampula,,Naomi,MOZ,female,,,,,22341,31533,41666,62383,65747,70976,91553
508,Mozambique,,Nampula,,Naomi,MOZ,male,,,,,11319,13745,18784,30160,32962,34106,49616
508,Mozambique,,Niassa,,Naomi,MOZ,female,,,,,7908,8742,10748,17434,20128,21404,23149
508,Mozambique,,Niassa,,Naomi,MOZ,male,,,,,4680,4573,4473,6663,8303,9060,10735
508,Mozambique,,Maputo,,Naomi,MOZ,female,,,,,95123,110222,129761,176417,182580,205181,198457
508,Mozambique,,Maputo,,Naomi,MOZ,male,,,,,43693,51824,60430,77299,80974,87821,99219
508,Mozambique,,Cabo Delgado,,Naomi,MOZ,female,,,,,20318,28585,34328,34792,35481,45948,39631
508,Mozambique,,Cabo Delgado,,Naomi,MOZ,male,,,,,9253,12042,13770,16689,19296,22149,23774
508,Mozambique,,Zambezia,,Naomi,MOZ,female,,,,,47090,64649,84625,132857,147999,167788,171845
508,Mozambique,,Zambezia,,Naomi,MOZ,male,,,,,20423,26582,34097,54753,65171,77457,96345
