cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
516,Namibia,,Kavango West,,Naomi,NAM,male,,,,,276,785,817,1062,1296,1407,1725
516,Namibia,,Khomas,,Naomi,NAM,female,,,,,11914,10610,12523,12070,11958,14100,13962
516,Namibia,,Khomas,,Naomi,NAM,male,,,,,8999,7685,6141,7685,7841,9237,8858
516,Namibia,,Kunene,,Naomi,NAM,female,,,,,1301,1499,1600,1681,1779,1761,2307
516,Namibia,,Kunene,,Naomi,NAM,male,,,,,694,893,860,900,991,972,1205
516,Namibia,,Ohangwena,,Naomi,NAM,female,,,,,10208,7583,10508,13718,15171,16602,15612
516,Namibia,,Ohangwena,,Naomi,NAM,male,,,,,4322,3893,4312,5805,6537,7185,7021
516,Namibia,,Omaheke,,Naomi,NAM,female,,,,,1430,1337,776,1113,1264,1568,1487
516,Namibia,,Omaheke,,Naomi,NAM,male,,,,,644,769,421,605,717,810,809
516,Namibia,,Omusati,,Naomi,NAM,female,,,,,10905,12179,12770,14136,15833,17362,17306
516,Namibia,,Omusati,,Naomi,NAM,male,,,,,4236,5150,5071,5695,6540,7130,7522
516,Namibia,,Oshana,,Naomi,NAM,female,,,,,7903,9484,9395,9896,10699,12683,12750
516,Namibia,,Oshana,,Naomi,NAM,male,,,,,3318,5193,3946,4213,4763,5561,5680
516,Namibia,,Oshikoto,,Naomi,NAM,female,,,,,7218,7951,10147,11284,11540,12963,12933
516,Namibia,,Oshikoto,,Naomi,NAM,male,,,,,3482,4251,4735,5179,5977,6231,6299
516,Namibia,,Otjozondjupa,,Naomi,NAM,female,,,,,3182,3501,3763,4234,4724,5392,5619
516,Namibia,,Otjozondjupa,,Naomi,NAM,male,,,,,2035,2518,2405,2586,2889,3286,3350
516,Namibia,,Zambezi,,Naomi,NAM,female,,,,,3437,5311,4095,6543,6557,7554,8368
516,Namibia,,Zambezi,,Naomi,NAM,male,,,,,1462,2452,1518,2708,2589,3144,3560
566,Nigeria,,Remaining Pop,Abia,Naomi,NGA,female,2202,2572,3633,3227,8302,8636,9172,9708,10244,11531,12423
566,Nigeria,,Remaining Pop,Abia,Naomi,NGA,male,1863,2175,1780,2777,3816,4411,5192,5974,6755,5250,5772
566,Nigeria,,Remaining Pop,Adamawa,Naomi,NGA,female,5226,6104,8621,8956,10222,12228,14234,16241,18247,20253,21590
566,Nigeria,,Remaining Pop,Adamawa,Naomi,NGA,male,5947,6941,5681,5907,5938,6728,7517,8307,9096,9886,9175
566,Nigeria,,Remaining Pop,Akwa-Ibom,Naomi,NGA,female,15069,17600,24860,12357,16481,25711,36470,29345,30344,50541,106030
566,Nigeria,,Remaining Pop,Akwa-Ibom,Naomi,NGA,male,13899,16223,13278,5920,7940,8746,9553,10359,11166,22984,58175
